"","ADI","bFFP","CMD","CMI","DD_0","DD_18","DD1040","DD18","DD5","eFFP","EMT","Eref","EXT","FFP","GSP","GSPDD5","MAP","MAR","MAT","MCMT","MWMT","NFFD","PAS","PPT_at","PPT_sm","PPT_sp","PPT_wt","PRATIO","RH","Tave_at","Tave_sm","Tave_sp","Tave_wt","TD","TMAX"
"ADI",1,-0.7,0.92,-0.94,-0.66,-0.75,0.8,0.76,0.8,0.61,0.51,0.81,0.77,0.67,-0.7,0.44,-0.88,-0.3,0.76,0.59,0.78,0.66,-0.84,-0.81,-0.21,-0.83,-0.82,0.69,-0.31,0.77,0.79,0.79,0.62,0.47,0.81
"bFFP",-0.7,1,-0.67,0.72,0.91,0.95,-0.95,-0.87,-0.95,-0.96,-0.91,-0.83,-0.78,-0.99,0.33,-0.85,0.51,0.15,-0.95,-0.89,-0.92,-0.98,0.76,0.45,0,0.54,0.52,-0.46,-0.17,-0.94,-0.93,-0.94,-0.91,-0.28,-0.82
"CMD",0.92,-0.67,1,-0.93,-0.66,-0.77,0.83,0.76,0.83,0.61,0.45,0.89,0.85,0.65,-0.79,0.43,-0.8,-0.25,0.78,0.55,0.82,0.65,-0.77,-0.68,-0.37,-0.8,-0.66,0.44,-0.45,0.79,0.82,0.82,0.6,0.58,0.89
"CMI",-0.94,0.72,-0.93,1,0.74,0.81,-0.83,-0.73,-0.84,-0.64,-0.54,-0.88,-0.83,-0.69,0.73,-0.51,0.93,0.3,-0.81,-0.64,-0.82,-0.69,0.94,0.85,0.2,0.9,0.87,-0.66,0.38,-0.82,-0.83,-0.84,-0.67,-0.47,-0.88
"DD_0",-0.66,0.91,-0.66,0.74,1,0.98,-0.89,-0.75,-0.91,-0.92,-0.89,-0.89,-0.76,-0.93,0.28,-0.87,0.51,0.09,-0.97,-0.97,-0.88,-0.94,0.81,0.44,-0.12,0.59,0.53,-0.48,0.01,-0.97,-0.9,-0.96,-0.98,-0.11,-0.81
"DD_18",-0.75,0.95,-0.77,0.81,0.98,1,-0.96,-0.83,-0.98,-0.94,-0.87,-0.94,-0.86,-0.95,0.4,-0.86,0.58,0.17,-1,-0.92,-0.95,-0.96,0.83,0.5,0,0.63,0.57,-0.48,0.05,-1,-0.97,-0.99,-0.95,-0.29,-0.9
"DD1040",0.8,-0.95,0.83,-0.83,-0.89,-0.96,1,0.93,1,0.91,0.82,0.92,0.91,0.94,-0.47,0.81,-0.6,-0.24,0.97,0.84,0.98,0.93,-0.79,-0.51,-0.14,-0.61,-0.57,0.45,-0.05,0.96,0.99,0.97,0.87,0.46,0.94
"DD18",0.76,-0.87,0.76,-0.73,-0.75,-0.83,0.93,1,0.91,0.78,0.74,0.82,0.78,0.84,-0.38,0.72,-0.53,-0.22,0.86,0.75,0.86,0.81,-0.64,-0.47,-0.09,-0.5,-0.51,0.45,-0.03,0.85,0.87,0.86,0.78,0.38,0.81
"DD5",0.8,-0.95,0.83,-0.84,-0.91,-0.98,1,0.91,1,0.92,0.82,0.94,0.91,0.94,-0.47,0.82,-0.61,-0.22,0.98,0.86,0.98,0.94,-0.81,-0.52,-0.11,-0.63,-0.58,0.46,-0.07,0.98,0.99,0.99,0.89,0.43,0.94
"eFFP",0.61,-0.96,0.61,-0.64,-0.92,-0.94,0.91,0.78,0.92,1,0.91,0.8,0.76,0.99,-0.29,0.85,-0.41,-0.08,0.94,0.88,0.9,0.99,-0.7,-0.32,-0.01,-0.47,-0.41,0.33,0.23,0.93,0.91,0.92,0.9,0.26,0.79
"EMT",0.51,-0.91,0.45,-0.54,-0.89,-0.87,0.82,0.74,0.82,0.91,1,0.68,0.63,0.92,-0.12,0.85,-0.34,-0.16,0.87,0.92,0.8,0.94,-0.63,-0.33,0.14,-0.35,-0.39,0.4,0.41,0.85,0.81,0.83,0.91,0.04,0.66
"Eref",0.81,-0.83,0.89,-0.88,-0.89,-0.94,0.92,0.82,0.94,0.8,0.68,1,0.86,0.83,-0.5,0.75,-0.65,-0.17,0.94,0.82,0.9,0.83,-0.83,-0.57,-0.05,-0.72,-0.61,0.5,-0.33,0.95,0.92,0.96,0.85,0.35,0.92
